Scientific Name,Status
Beekjuffers behoren tot de meest opvallende verschijningen onder de Vlaamse libellen. Mannetjes hebben een donkerblauw lichaam en zwarte vleugels met een blauwe schijn. De vrouwtjes hebben een groen tot bruin metaalglanzend lichaam.,Only on Natuurpunt website
Bekijk welke activiteiten er in de agenda staan,Only on Natuurpunt website
Benieuwd welke vogelwerkgroepen er zijn?,Only on Natuurpunt website
"Biggenkruid is een gele bloem die lijkt op een paardenbloem, maar heeft licht behaarde bladeren en vertakkingen bij de bloemen.",Only on Natuurpunt website
Black stork,Only on Natuurpunt website
Blauwe ertsbij,Only on Natuurpunt website
Blauwe glazenmaker,Only on Natuurpunt website
Blauwe haai,Only on Natuurpunt website
Blauwe kiekendief,Only on Natuurpunt website
Blauwe reiger,Only on Natuurpunt website
Bleke klaproos,Only on Natuurpunt website
Bloedrode heidelibel,Only on Natuurpunt website
Blue carpenter bee,Only on Natuurpunt website
Blue shark,Only on Natuurpunt website
Blue tit,Only on Natuurpunt website
Boletus erythropus,Only on Natuurpunt website
Bombina variegata,Only on Natuurpunt website
Bombus hypnorum,Only on Natuurpunt website
Bombus lapidarius,Only on Natuurpunt website
Bombycilla garrulus,Only on Natuurpunt website
Bont zandoogje,Only on Natuurpunt website
Bonte vliegenvanger,Only on Natuurpunt website
Boreal owl/Tengmalm’s owl,Only on Natuurpunt website
Boshyacint of Wilde hyacint,Only on Natuurpunt website
Botaurus stellaris,Only on Natuurpunt website
Brandts vleermuis,Only on Natuurpunt website
Branta canadensis,Only on Natuurpunt website
Brede wespenorchis,Only on Natuurpunt website
Brown long-eared bat,Only on Natuurpunt website
Brown rat,Only on Natuurpunt website
Bruin zandoogje,Only on Natuurpunt website
Bruine kikker,Only on Natuurpunt website
Bruine rat,Only on Natuurpunt website
Bubo bubo,Only on Natuurpunt website
Calidris pugnax,Only on Natuurpunt website
Caliprobola speciosa,Only on Natuurpunt website
Calocera cornea,Only on Natuurpunt website
Calocera viscosa,Only on Natuurpunt website
Calopteryx splendens,Only on Natuurpunt website
Calopteryx virgo,Only on Natuurpunt website
Canadese gans,Only on Natuurpunt website
Canis aureus,Only on Natuurpunt website
Canis lupus,Only on Natuurpunt website
Caprimulgus europaeus,Only on Natuurpunt website
Carabus coriaceus,Only on Natuurpunt website
Carduelis carduelis,Only on Natuurpunt website
Ceratina cyanea,Only on Natuurpunt website
Certhia brachydactyla,Only on Natuurpunt website
Cervus elaphus,Only on Natuurpunt website
Cetorhinus maximus,Only on Natuurpunt website
Champignons zijn saprotrofe plaatjeszwammen met donkere sporen. Het zijn middelgrote tot grote paddenstoelen met een vlezig hoed. De best gekende champignon is de “gekweekte champignon” (Agaricus bisporus). Deze wordt vrij zelden in het wild gevonden.,Only on Natuurpunt website
Chloris chloris,Only on Natuurpunt website
Ciconia ciconia,Only on Natuurpunt website
Ciconia nigra,Only on Natuurpunt website
Circus aeruginosus,Only on Natuurpunt website
Circus cyaneus,Only on Natuurpunt website
Circus pygargus,Only on Natuurpunt website
Clathrus archeri,Only on Natuurpunt website
Clavaria argillacea,Only on Natuurpunt website
Clavulina coralloides,Only on Natuurpunt website
Clinclus clinclus,Only on Natuurpunt website
Clitocybe nebularis,Only on Natuurpunt website
Coal tit,Only on Natuurpunt website
Coeloglossum viride,Only on Natuurpunt website
Coelotes terrestris,Only on Natuurpunt website
Comma butterfly,Only on Natuurpunt website
Common bird's-foot-trefoil,Only on Natuurpunt website
Common blue,Only on Natuurpunt website
Common bottlenose dolphin,Only on Natuurpunt website
Common candy-striped spider,Only on Natuurpunt website
Common crane,Only on Natuurpunt website
Common glow-worm,Only on Natuurpunt website
Common ivy,Only on Natuurpunt website
Common midwife toad,Only on Natuurpunt website
Common reed bunting,Only on Natuurpunt website
Common spadefoot,Only on Natuurpunt website
Common spotted orchid,Only on Natuurpunt website
Common swift,Only on Natuurpunt website
Common toad,Only on Natuurpunt website
Common wall lizzard,Only on Natuurpunt website
Coprinellus disseminatus,Only on Natuurpunt website
Coprinus lagopus,Only on Natuurpunt website
Coprinus picaceus,Only on Natuurpunt website
Cordyceps militaris,Only on Natuurpunt website
Corn bunting,Only on Natuurpunt website
Coronella austriaca,Only on Natuurpunt website
Corvus frugileus,Only on Natuurpunt website
Corvus monedula,Only on Natuurpunt website
Coturnix coturnix,Only on Natuurpunt website
Creeping thyme,Only on Natuurpunt website
Creeping willow,Only on Natuurpunt website
Cricetus cricetus,Only on Natuurpunt website
Cyathus striatus,Only on Natuurpunt website
Dactylorhiza fuchsii,Only on Natuurpunt website
Dactylorhiza incarnata,Only on Natuurpunt website
Dactylorhiza majalis subsp. praetermissa,Only on Natuurpunt website
Daddy long legs,Only on Natuurpunt website
"De atalanta, een kleurrijke trekvlinder, kan je de hele zomer in je tuin tegenkomen. Met zijn zwarte, oranje en witte kleurschakeringen is hij een opvallende en gemakkelijk te herkennen verschijning.",Only on Natuurpunt website
"De bergnachtorchis is een wilde orchidee. Ze heeft een rechte bloeistengel met smalle bladeren en een dichte aar vol roze tot paarsige, heerlijk geurende bloemen.",Only on Natuurpunt website
"De beuk herken je aan het ovale blad en de gladde, grijze schors. Het bladerdak is opvallend dicht. Er komt geen licht doorheen waardoor er onder de beuk niets groeit.",Only on Natuurpunt website
De beverrat is een groot en plomp knaagdier. Na de bever is de beverrat het grootste knaagdier dat in Vlaanderen voorkomt. Het is een invasieve exoot uit Zuid-Amerika.,Only on Natuurpunt website
De blauwborst is met zijn felblauwe keel en borst (bij de mannetjes) erg exotisch gekleurd. Je vindt de blauwborst vooral in moerasbosjes en ruige rietvelden.,Only on Natuurpunt website
"De blauwe ertsbij is een kleine bij die vrij algemeen is, maar toch moeilijk te vinden is door haar onopvallende uiterlijk. Ze nestelt bij voorkeur op zonnige plaatsen in holle braamstengels.",Only on Natuurpunt website
"De blauwe glazenmaker is een libel met een mozaiektekening op het achterlijf. Je komt ze regelmatig tegen in tuinvijvers. Deze libel wordt het meest waargenomen, hij is ook erg groot: zo'n 67 tot 76 mm.",Only on Natuurpunt website
De blauwe haai is een elegante haaiensoort met een slank lichaam en opvallend blauwe kleur. Hij leeft in open zee en komt sporadisch in de Noordzee.,Only on Natuurpunt website
"De blauwe kiekendief is een middelgrote roofvogel met lange vleugels en staart. Mannetjes hebben een licht, blauwgrijs uiterlijk. Zijn vleugelpunten zijn opvallend zwart. Blauwe kiekendieven zijn in Vlaanderen zeer zeldzame broedvogels. Ze zijn hier voornamelijk als wintergasten. Je herkent duidelijk de witte stuit bij de vrouwtjes en 5 zwarte handpennen bij het mannetje.",Only on Natuurpunt website
De blauwvleugelsprinkhaan is een opmerkelijk insect dat bekend staat om zijn kenmerkende blauwe vleugels en uniek gedrag. Hij komt voor in verschillende graslanden in Europa.,Only on Natuurpunt website
De bonte vliegenvanger is een zwart-witte zangvogel die graag in nestkasten broedt. De soort brengt veel tijd door in de boomkruinen. Vanaf een zitpost maakt hij korte vluchten achter vliegende insecten aan.,Only on Natuurpunt website
De boompieper is een slanke zangvogel die vaak te vinden is in halfopen landschappen. Zijn melodieuze zang en kenmerkende zangvlucht maken hem goed herkenbaar.,Only on Natuurpunt website
"De boomvalk is een slanke, snelle roofvogel die bekendstaat om zijn acrobatische vliegkunsten. Hij jaagt vaak op vliegende insecten en kleine vogels, zoals zwaluwen.",Only on Natuurpunt website
"De bosmier is een sociale insectensoort die leeft in kolonies en bekendstaat om zijn indrukwekkende nesten in bosrijke gebieden. Ze dulden geen vijanden en voeren daarom soms oorlog. De mieren zelf zijn sterk, maar halen veel kracht uit samenwerking.",Only on Natuurpunt website
"De bosorchis lokt insecten met haar geurige, paars-roze bloemen",Only on Natuurpunt website
De bosrietzanger is een kleine zangvogel die vooral opvalt door zijn veelzijdige zang. Hij bootst moeiteloos andere vogels na en is vooral te vinden in struikrijke gebieden en rietvelden,Only on Natuurpunt website
De bosvleermuis is een middelgrote vleermuis met een lange tweekleurige vacht. Hij valt op door zijn snelle en behendige vliegkunsten.,Only on Natuurpunt website
"De boswilg is een struik- of boomvormige wilgensoort die vaak voorkomt aan bosranden en in vochtige gebieden. Bekend om zijn zachte, zilvergrijze katjes in het vroege voorjaar.",Only on Natuurpunt website
De brandnetel is een groene plant met brandharen op. Wanneer je in aanraking komt met deze haartjes kan het branden of jeuken en krijg je kleine bultjes op je huid. Voor insecten en specifiek vlinders is het een goede plant om te laten staan.,Only on Natuurpunt website
"De brede wespenorchis heeft een rechtopstaande stengel met brede, ovale bladeren en een aar vol groenroze bloemen met een beweeglijke lip.",Only on Natuurpunt website
De bruine kiekendief is een elegante roofvogel die vaak laag boven moerassen en rietvelden zweeft. Hij staat bekend om zijn sierlijke vlucht en scherpe blik op prooien.,Only on Natuurpunt website
"De bruine kikker is een grote, robuuste kikker met een zwarte vlek achter het oog. Zijn helderbruine rug heeft contrasterende bruinzwarte vlekken.",Only on Natuurpunt website
"De bruinvis is de kleinste walvisachtige in Europa. Het is geen vis, maar een zoogdier. Tijdens het zwemmen verschijnt de bruinvis maar enkele keren kort boven het wateroppervlak. Daarna duikt hij weer voor enkele minuten onder water.",Only on Natuurpunt website
"De bunzing is een slanke, nachtactieve marterachtige. Hij is vooral bekend om zijn muskusachtige geur, donkere vacht en kenmerkend masker.",Only on Natuurpunt website
De das is onze grootste inheemse marterachtige. Je herkent hem aan de opvallende zwart-wit tekening op zijn vacht. Grote ondergrondse burchten kunnen duiden op zijn aanwezigheid.,Only on Natuurpunt website
"De doornhaai is een kleine, slanke haaiensoort met een opvallende doorn op zijn rugvin. Hij leeft in scholen en komt voor in de Noordzee.",Only on Natuurpunt website
De dotterbloem is een botergele bloem die graag aan waterkanten en op vochtige plekken staat.,Only on Natuurpunt website
De egel is vooral bekend door zijn stekelvacht en zijn gewoonte om zich bij gevaar op te rollen. Elk jaar sneuvelen duizenden egels in het verkeer.,Only on Natuurpunt website
"De eikelmuis is een vrij forse, bont gekleurde slaapmuis met een lange pluimstaart. In Vlaanderen komt ze voor in de Leemstreek en aansluitende Zandleemstreek, en aan de Westkust.",Only on Natuurpunt website
"De ekster is met zijn zwart-wit verenkleed en zeer lange, groenglanzende staart een onmiskenbare vogel. De ekster bouwt vaak overdekte nesten.",Only on Natuurpunt website
De enige beurszwam die zeer algemeen is.,Only on Natuurpunt website
De fijnspar is altijd groen. De takken groeien in verdiepingen: elke etage is een nieuw jaar. Dit geldt voor alle naaldbomen.,Only on Natuurpunt website
De fuut is een sierlijke watervogel met een opvallende koptooi. Hij staat bekend om zijn spectaculaire baltsdans en zijn vermogen om onder water te duiken op zoek naar vis. Je komt hem op vele plekken tegen.,Only on Natuurpunt website
De geelgors is met zijn kenmerkende zang (een typische ‘gorzenslag’) en felgele verenkleed een vrolijke verschijning op onze Vlaamse akkers.,Only on Natuurpunt website
"De gehakkelde aurelia, met zijn opvallende 'gehaakte' vleugelranden en levendige oranje kleur, is een veelvoorkomende verschijning in België.",Only on Natuurpunt website
De gehoornde metselbij is een solitaire bijensoort die bekend staat om hun efficiënte bestuiving. De vrouwtjes hebben hoornachtige structuren op het voorhoofd. Ze zijn vreedzaam en maken nesten in natuurlijke holtes of kunstmatige nestkasten. Hun belangrijke rol in bestuiving maakt hen tot een fascinerende soort voor onderzoek en natuurbehoud.,Only on Natuurpunt website
"De gele aardappelbovist heeft een voorkeur voor zure, zanderige bodems en is algemeen in loof- en naaldbossen. Hij is niet kieskeurig want hij gaat een symbiose aan met allerlei loof- en naaldbomen. Ook in parken en lanen is deze zwam vanaf de zomer tot diep in de winter voor de aandachtige wandelaar herkenbaar.",Only on Natuurpunt website
De gele kwikstaart is met zijn felgele verenkleed een vrolijke verschijning op onze Vlaamse akkers.,Only on Natuurpunt website
"De gele trilzwam nestelt zich graag op eikentakken. Hij parasiteert in feite op de paarse eikenschorszwam, een veel voorkomende schorszwam op eik.  Jonge gele trilzwammen lijken wel goudgele hersenkwabben, de oudere verbleken tot bijna doorzichtig.",Only on Natuurpunt website
"De gevlekte gladde haai is een slanke, ongevaarlijke haai die leeft in ondiepe zeeën zoals de Noordzee. Hij lijkt sterk op de gewone gladde haai, maar heeft witte vlekjes",Only on Natuurpunt website
De gevlekte orchis is een slanke wilde orchidee met roze tot paarse bloemen met fijn getekende lippen en gevlekte bladeren aan de voet.,Only on Natuurpunt website
"De gevlekte ringslang is een inheemse soort voor onze regio, toch is ze zeldzaam in onze contreien. De gevlekte ringslang is ongevaarlijk en niet giftig voor de mens. Het is een schuwe en rustige slangensoort die zelden bijt.",Only on Natuurpunt website
De gewone ereprijs is een klein blauw bloemetje met eivormige bladeren en een licht behaarde stengel.,Only on Natuurpunt website
De gewone margriet is een vaste plant met opvallende witte bloembladen en een geel hart. Ze is een geliefde wilde bloem in weilanden en bermen en wordt vaak gebruikt in bloemenweiden.,Only on Natuurpunt website
"De gewone pad is een vrij grote, plompe pad met een opvallend wrattige huid en achter elk oog een grote oorklier.",Only on Natuurpunt website
"De gewone rolklaver is een goede plant om bijen aan te trekken, met gele bloemen en kleine groene blaadjes.",Only on Natuurpunt website
"De gierzwaluw is geen zangvogel en is in feite dus geen echte zwaluw, hij is meer verwant aan de kolibries uit Amerika. In de zomermaanden laat hij zich opmerken door zijn snelle vliegwerk en typische geluid.",Only on Natuurpunt website
"De goudjakhals is een middelgrote hondachtige. Ondanks zijn naam is hij waarschijnlijk niet zeer nauw verwant aan de zadeljakhals of de gestreepte jakhals, maar staat hij dichter bij de coyote en de wolf. Hoewel de goudjakhals oorspronkelijk vooral in Oost-Europa voorkwam, laat hij zich als zwerfgast ook in Nederland en onder andere Duitsland en Denemarken zien.",Only on Natuurpunt website
De grauwe klauwier is een middelgrote zangvogel met een opvallend masker en een voorkeur voor open landschappen. Hij staat bekend om zijn gewoonte om prooien op doornen te spietsen.,Only on Natuurpunt website
De grijze grootoorvleermuis is een middelgrote vleermuis met opvallend (31 tot 41 millimeter) grote oren. Ze lijkt enorm op de gewone grootoorvleermuis.,Only on Natuurpunt website
"De grijze zeehond heeft een grote kegelvormige kop, waardoor hij ook kegelrob genoemd wordt. Hij is groter dan de gewone zeehond, en heeft een rechte snuit.",Only on Natuurpunt website
"De groene nachtorchis is een wilde orchidee met kleine, onopvallende groenige bloemen De bloemen hebben een brede lip en soms een roodbruine schijn. Het is een compacte en slanke plant.",Only on Natuurpunt website
De groenling is een forse zaadeter met een stierennek. Met zijn krachtige snavel kan de vogel gemakkelijk harde zaden kraken.,Only on Natuurpunt website
De grote kaardenbol is een indrukwekkende tweejarige plant met stekelige stengels en ovale bloemhoofdjes vol paarse bloempjes. De plant is geliefd bij insecten en vogels.,Only on Natuurpunt website
De grote keverorchis lokt wespen met haar geurstoffen,Only on Natuurpunt website
"De grote lijster is een forse, bruine lijster met zwarte, ronde vlekjes op de borst. De vogel zit vaak rechtop, alsof ze voortdurend op haar hoede is.",Only on Natuurpunt website
"De grote muggenorchis verspreidt een zoete geur in de avondlucht, en lokt zo heel wat nachtvlinders.",Only on Natuurpunt website
"De grote zilverreiger is een opvallende verschijning met zijn witte verenkleed en lange,dunne hals. Tijdens zijn vlucht herken je de grote zilverreiger aan zijn tragere vleugelslag en langere vleugels.",Only on Natuurpunt website
De grutto is de weidevogel bij uitstek. Het is een lentebode die jammer genoeg almaar meer wordt teruggedrongen tot weidevogelreservaten.,Only on Natuurpunt website
De halsbandparkiet is een kleurrijke en levendige vogel die oorspronkelijk uit Afrika en Zuid-Azië komt. Met zijn opvallende uiterlijk en luide roep is hij een bekende verschijning in stedelijke gebieden en tuinen.,Only on Natuurpunt website
"De haringhaai is een gespierde, snel zwemmende roofhaai die verwant is aan de witte haai. Hij leeft in koele zeeën en wordt af en toe in de Noordzee gezien.",Only on Natuurpunt website
"De hazelaar is een struik of kleine boom met ronde bladeren en vroege, opvallende katjes. In het najaar draagt hij eetbare hazelnoten, geliefd bij dieren en mensen.",Only on Natuurpunt website
"De heikikker is een middelgrote kikker met een iets spitse snuit. In de paartijd (eind februari, tot uiterlijk begin april) kleuren mannetjes tijdelijk licht- tot fel blauw.",Only on Natuurpunt website
"De hermelijn is een klein, slank roofdier dat behendig jaagt in graslanden en bosranden. In de winter kan hij een witte vacht krijgen, waardoor hij minder opvalt in de sneeuw.",Only on Natuurpunt website
De hooiwagens zijn een verzamelnaam voor een orde geleedpotige dieren binnen de spinachtigen. Hooiwagens zijn dus geen echte spinnen.,Only on Natuurpunt website
De houtduif is in Vlaanderen de meest algemene en grootste duif. Ze is vooral bekend door haar witte halsvlek en haar ritmisch gekoer.,Only on Natuurpunt website
"De houtsnip is een schuwe, goed gecamoufleerde vogel die vooral in bossen leeft. Hij staat bekend om zijn opvallende baltsvlucht en lange, gevoelige snavel. In de herfst en winter trekken veel houtsnippen uit Noord- en Oost-Europa naar hier. Omdat de vogels nogal onhandig zijn, kunnen ze zomaar in je tuin of op je balkon terechtkomen.",Only on Natuurpunt website
De huiszwaluw is een kleine zwart-witte zangvogel die zich thuis voelt tussen de mensen. Toch staat de soort de laatste jaren meer en meer onder druk.,Only on Natuurpunt website
De ingekorven vleermuis is een zuidelijke soort die je eerder op warme plaatsen tegenkomt. Daarom komt ze in Vlaanderen maar weinig voor. Je herkent haar aan haar wollige vacht. De vleermuis dankt haar naam aan een ‘inkerving’in het oor.,Only on Natuurpunt website
"De junikever lijkt sterk op de meikever, maar is kleiner. Hij is lichtbruin en volledig bedekt met lichte haren. De dekschilden zijn doorschijnend waardoor de opgevouwen achtervleugels eronder zichtbaar zijn. De larven worden engerlingen genoemd, net zoals bij de meikever.",Only on Natuurpunt website
"De juweelzweefvlieg, een opvallend insect, behoort tot de familie",Only on Natuurpunt website
"De kauw is een luidruchtige, gedrongen vogel, zwart met een grijs achterhoofd. Hij is vooral bekend doordat hij in schouwen en op kerkzolders broedt.",Only on Natuurpunt website
"De kleine dwergvleermuis lijkt goed op de gewone dwergvleermuis, maar is kleiner. De soort werd pas in 1999 ontdekt",Only on Natuurpunt website
"De kleine glimworm,",Only on Natuurpunt website
"De kleine karekiet is een onopvallende, maar vocale zangvogel die vooral in rietvelden te vinden is. Zijn kenmerkende zang verraadt vaak zijn aanwezigheid voordat je hem ziet.",Only on Natuurpunt website
De kleine rietgans is een middelgrote ganzensoort die broedt in het hoge noorden en 's winters naar gematigde streken trekt. In Vlaanderen is deze soort voornamelijk tijdens de wintermaanden te zien.,Only on Natuurpunt website
De kleine vos is een veelvoorkomende en prachtige vlindersoort. Met zijn opvallende oranje vleugels en zwarte stippen is deze vlinder een vertrouwd gezicht in tuinen en parken.,Only on Natuurpunt website
De knoflookpad is een eigenaardige amfibie die haar naam dankt aan de geur die wordt afgescheiden bij verstoring. Niet dat je ze vaak te ruiken krijgt: de knoflookpad leeft een verborgen bestaan en is zeer zeldzaam in Vlaanderen. Anno 2022 resten slechts twee wilde populaties.,Only on Natuurpunt website
"De kolgans is een middelgrote gans die opvalt door zijn witte voorhoofd en donkere buikstrepen. In de winter is hij een vaste gast in Vlaanderen, waar hij graslanden en akkers opzoekt.",Only on Natuurpunt website
De koperwiek is een kleine lijster met roestrode oksels en flanken. Bij ons kan je de vogel vanaf het najaar tot in de vroege lente zien.,Only on Natuurpunt website
"De kraanvogel is een grote, grijsblauwe vogel die sinds 2021 in België broedt .",Only on Natuurpunt website
De krakeend is een middelgrote eendensoort die vaak over het hoofd wordt gezien door zijn sobere uiterlijk. Toch is het een sierlijke verschijning met subtiele details in zijn verenkleed.,Only on Natuurpunt website
De kramsvogel is een forse lijster met een grijze kop en een roodbruine mantel.,Only on Natuurpunt website
"De kruipwilg is een lage, breed uitgroeiende struik die vaak voorkomt op zandige, droge of duinachtige bodems. Ze is belangrijk voor biodiversiteit in schrale natuurgebieden.",Only on Natuurpunt website
"De kuifmees heeft een markante zwart-witte koptekening en opvallende spitse, driehoekige kuif die kan worden opgezet. De soort komt enkel in Europa voor en dat komt niet veel voor in de vogelwereld.",Only on Natuurpunt website
De kwartel is een zeer kleine hoender die zich zelden laat zien. De typische roep hoor je vooral op zwoele zomeravonden die uit graanakkers weerklinken.,Only on Natuurpunt website
"De lepelaar is een opvallende, witte waadvogel met een kenmerkende lepelvormige snavel. Hij gebruikt die snavel om kleine waterdieren uit het ondiepe water te filteren.",Only on Natuurpunt website
"De levendbarende hagedis is een vrij kleine, bruinige hagedis met een relatief lange staart. De eitjes ontwikkelen zich volledig in het moederlichaam.",Only on Natuurpunt website
"De lijsterbes is een elegante kleine boom of struik met geveerde bladeren, witte bloesems en felrode bessen. Ze is aantrekkelijk voor vogels en ideaal voor kleinere tuinen of bosranden.",Only on Natuurpunt website
De meervleermuis is erg zeldzaam. Hij is groot en herkenbaar aan de opvallende neusknobbels en grote voeten. De meervleermuis is een echt nachtdier en jaagt vooral boven stilstaand water. Hier heeft het zijn naam aan te danken.,Only on Natuurpunt website
De meest voorkomende en gemakkelijkst herkenbare boleet is de kastanjeboleet. Deze soort is niet zo kieskeurig en is zowel bij loof- als bij naaldbomen te vinden en stoort zich niet aan de dikke strooisellaag die tegenwoordig door een teveel aan stikstof in de meeste bossen te vinden is.,Only on Natuurpunt website
De meidoorn is een doornige heester of kleine boom die geliefd is om zijn witte bloesems in het voorjaar en zijn rode bessen in de herfst. Een klassieker in hagen en houtkanten.,Only on Natuurpunt website
"De middelste bonte specht is een echte bosvogel en een meester in het klimmen langs boomstammen. Met zijn felrode kruin en spechtachtige roffels is hij een opvallende, maar schuwe verschijning in oude loofbossen.",Only on Natuurpunt website
"De moerassprinkhaan is een grote geelgroene veldsprinkhaan, herkenbaar aan zijn gekleurde achterpoten. Mannetjes hebben consistente kleuren, terwijl vrouwtjes vaak meer variabel zijn. Ze zijn groter dan andere veldsprinkhanen en leven in diverse vochtige habitats zoals graslanden en wateroevers.",Only on Natuurpunt website
"De moeraswespenorchis is een wilde orchidee met elegante bloemen. De bloemen hebben een golvende, witte lip en paarsbruine buitenbladen, in een losse bloeiwijze op een slanke stengel.",Only on Natuurpunt website
De mopsvleermuis is makkelijk te herkennen aan zijn gedrongen gezicht en brede oren. Hij dankt zijn naam aan zijn kleine ogen en een gedrongen snuit die doet denken aan een mopshond. Deze vleermuis is uiterst zeldzaam en werd in 2014 voor het eerst na 13 jaar weer waargenomen in Vlaanderen.,Only on Natuurpunt website
"De muurhagedis is een kleine hagedis met een slank, langwerpig lichaam met korte pootjes en een staart. Hij heeft een herkenbaar patroon en lengtestrepen die afwisselend licht en donker gekleurd zijn. Je komt hem tegen op muren en rotsen.",Only on Natuurpunt website
"De naam is geen leugen, de visarend eet bijna alleen maar vis. Verder komt de visarend algemeen voor over de hele wereld, kan je bij ons enkel maar tijdens zijn doortrek spotten. Als broedvogel is hij zeldzaam in Vlaanderen.",Only on Natuurpunt website
"De naam verklapt het al, de grote keizerlibel valt op door zijn grootte, maar ook door zijn kleurrijke verschijning. Hij staat bekend om zijn vliegvermogen en snelle bewegingen, waardoor hij een goede jager is. De grote keizerlibel leeft langs het water, op zoek naar voedsel.",Only on Natuurpunt website
"De nachtegaal is een zangvogel die beroemd is om zijn prachtige en melodieuze lied, dat vooral 's avonds te horen is. Zijn muzikale vaardigheden maken hem tot een geliefde en iconische vogel in veel culturen.",Only on Natuurpunt website
De natuur in met kinderen,Only on Natuurpunt website
De patrijs of het veldhoen is een middelgrote onopvallende bruingetinte akkervogel die zich zelden laat zien.,Only on Natuurpunt website
"De pestvogel is een prachtige wintergast uit het noorden, met een kuifje, zachte kleuren en een fluitend stemgeluid. In sommige winters duikt hij plots in grote groepen op, vaak in stadsparken of tuinen vol bessen.",Only on Natuurpunt website
De platte wielwebspin is een heel apart type wielwebspin dat vaak rond huizen leeft.,Only on Natuurpunt website
De ransuil is een middelgrote uil die opvalt door zijn feloranje ogen en opvallende oorpluimen.,Only on Natuurpunt website
"De reuzenhaai is de op één na grootste vis ter wereld. Ondanks zijn grootte is hij totaal ongevaarlijk voor mensen. De reuzenhaai leeft op zee, maar komt soms voor in de branding",Only on Natuurpunt website
"De rietgors is een middelgrote gors. Gorzen lijken een beetje op vinken, maar hebben een langere staart. In de zomer is het mannetje gemakkelijk te herkennen aan zijn opvallend zwarte kopkap en witte halsband, die samensmelt met een witte snorstreep. Hij heeft bovenaan rosbruin met duidelijke donker en lichte streping. In de winter verdwijnt de zwarte kopkleur.",Only on Natuurpunt website
"De rietorchis is een wilde orchidee. Het is een forse bloem met brede, vaak gevlekte bladeren en een dichte bloeiwijze met paarse bloemen vol tekening.",Only on Natuurpunt website
"De rietzanger is een kleine zangvogel die vooral in moerassige gebieden met riet voorkomt. Hij staat bekend om zijn gevarieerde zang en onrustige, actieve gedrag.",Only on Natuurpunt website
"De ringmus lijkt op de huismus maar je kan de vogel gemakkelijk herkennen aan de kastanjebruine kruin, de zwarte wangvlek en de witte halsband.",Only on Natuurpunt website
"De rode eekhoorn, of de gewone eekhoorn, is met zijn oorpluimpjes en grote pluimstaart onmiskenbaar. Het is een echte bossoort maar ook in parken en tuinen duikt hij op. Onze eekhoorn is in Europa de meest voorkomende eekhoornsoort.",Only on Natuurpunt website
"De roek is een kraaiachtige die graag in dichte kolonies nestelt. Dat doen ze in boomtoppen. De kolonies kunnen enkele, tientallen of honderden paren tellen.",Only on Natuurpunt website
"De roodborst is met zijn opgerichte houding, rond lichaam en rode borst een onmiskenbare vogel die vaak in tuinen voorkomt.",Only on Natuurpunt website
De roodborsttapuit is een kleine zangvogel die vaak te zien is in open landschappen. Met zijn opvallende kleuren en zang brengt hij leven in heidevelden en graslanden.,Only on Natuurpunt website
